2026-06-22 12:24:51:2451 [HTTP]: GET /api/user/notifications | Status: 304 | Size: - B | Time: 23.073 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:25:14:2514 [HTTP]: POST /api/admin/notifications/send | Status: 201 | Size: 72 B | Time: 76.535 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:26:33:2633 [HTTP]: GET /api/chat/contacts | Status: 200 | Size: 530 B | Time: 8.240 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:26:34:2634 [HTTP]: GET /api/chat/messages/4afa4f54-b3e2-4e00-892e-d03f4d0654a8 | Status: 200 | Size: 275 B | Time: 7.609 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:26:34:2634 [HTTP]: GET /api/chat/contacts | Status: 200 | Size: 530 B | Time: 7.641 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:26:36:2636 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 7.424 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:29:33:2933 [HTTP]: GET /api/chat/messages/9f4a6e5b-e271-4d15-8e0e-03f91dd075e5 | Status: 200 | Size: 2 B | Time: 59.539 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:29:33:2933 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 17.195 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:29:43:2943 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 6.436 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:29:54:2954 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 57.121 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:29:54:2954 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 3.792 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:40:10:4010 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 91.894 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:40:12:4012 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 8.762 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:15:4215 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 58.991 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:17:4217 [HTTP]: GET /api/user/me | Status: 200 | Size: 375 B | Time: 18.390 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:17:4217 [HTTP]: GET /api/user/me | Status: 304 | Size: - B | Time: 8.540 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:17:4217 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 7.619 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:17:4217 [HTTP]: GET /api/user/notifications | Status: 304 | Size: - B | Time: 14.866 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:17:4217 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 16.459 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:17:4217 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 8.491 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:17:4217 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 54.656 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:17:4217 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 9.312 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:17:4217 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 17.149 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:17:4217 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 11.723 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:17:4217 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 8.150 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:19:4219 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 6.294 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:43:4243 [HTTP]: GET /api/chat/messages/4afa4f54-b3e2-4e00-892e-d03f4d0654a8 | Status: 200 | Size: 274 B | Time: 5.177 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:43:4243 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 5.191 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:42:47:4247 [HTTP]: POST /api/chat/messages | Status: 201 | Size: 254 B | Time: 13.129 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:44:53:4453 [HTTP]: GET /api/chat/contacts | Status: 200 | Size: 530 B | Time: 6.477 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:44:55:4455 [HTTP]: GET /api/chat/messages/78d0340d-8c12-44cd-9211-312f6f07dd97 | Status: 200 | Size: 260 B | Time: 5.082 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:44:55:4455 [HTTP]: GET /api/chat/contacts | Status: 200 | Size: 530 B | Time: 6.348 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:45:01:451 [HTTP]: POST /api/chat/messages | Status: 201 | Size: 257 B | Time: 7.711 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:38:31:3831 [HTTP]: GET /api/user/me | Status: 304 | Size: - B | Time: 11.998 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:38:31:3831 [HTTP]: GET /api/user/me | Status: 304 | Size: - B | Time: 6.252 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:38:31:3831 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 4.058 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:38:31:3831 [HTTP]: GET /api/user/notifications | Status: 304 | Size: - B | Time: 10.361 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:38:31:3831 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 9.066 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:38:31:3831 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 25.108 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:38:31:3831 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 10.634 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:38:31:3831 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 10.065 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:38:31:3831 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 9.072 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:38:31:3831 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 4.680 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:38:31:3831 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 3.320 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/user/notifications | Status: 304 | Size: - B | Time: 54.962 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 65.019 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/user/me | Status: 304 | Size: - B | Time: 192.000 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/user/notifications | Status: 304 | Size: - B | Time: 23.096 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 164.662 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 18.434 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/user/me | Status: 304 | Size: - B | Time: 27.705 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 13.204 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 34.125 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/user/me | Status: 304 | Size: - B | Time: 16.434 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 8.973 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/user/me | Status: 304 | Size: - B | Time: 10.816 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 27.789 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 7.719 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 5.806 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 14.750 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 8.123 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 8.821 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 8.216 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:22:4822 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 9.088 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:26:4826 [HTTP]: GET /api/admin/users | Status: 200 | Size: 3427 B | Time: 22.388 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:26:4826 [HTTP]: GET /api/admin/tasks | Status: 304 | Size: - B | Time: 23.112 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:26:4826 [HTTP]: GET /api/admin/tasks/all | Status: 304 | Size: - B | Time: 18.567 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:26:4826 [HTTP]: GET /api/admin/tasks | Status: 304 | Size: - B | Time: 9.400 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:26:4826 [HTTP]: GET /api/admin/tasks/all | Status: 304 | Size: - B | Time: 10.078 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:26:4826 [HTTP]: GET /api/admin/users | Status: 304 | Size: - B | Time: 24.602 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:26:4826 [HTTP]: GET /api/admin/designations/permissions | Status: 304 | Size: - B | Time: 10.761 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:26:4826 [HTTP]: GET /api/admin/designations/permissions | Status: 304 | Size: - B | Time: 3.294 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:48:59:4859 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 74.572 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:49:00:490 [HTTP]: GET /api/chat/messages/78d0340d-8c12-44cd-9211-312f6f07dd97 | Status: 200 | Size: 516 B | Time: 23.745 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:49:00:490 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 6.983 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:49:05:495 [HTTP]: POST /api/chat/messages | Status: 201 | Size: 258 B | Time: 43.462 ms | User: Admin User (admin@gmail.com)
2026-06-22 13:50:04:504 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 67.268 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:54:2154 [HTTP]: GET /api/user/me | Status: 404 | Size: 28 B | Time: 2375.684 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:55:2155 [HTTP]: GET /api/admin/tasks/all | Status: 304 | Size: - B | Time: 2611.093 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:55:2155 [HTTP]: GET /api/admin/tasks | Status: 304 | Size: - B | Time: 2618.818 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:55:2155 [HTTP]: GET /api/user/notifications | Status: 304 | Size: - B | Time: 2610.955 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:55:2155 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 486.697 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:55:2155 [HTTP]: GET /api/admin/users | Status: 200 | Size: 557 B | Time: 2876.148 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:55:2155 [HTTP]: GET /api/chat/contacts | Status: 200 | Size: 171 B | Time: 2879.100 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:55:2155 [HTTP]: GET /api/user/me | Status: 404 | Size: 28 B | Time: 261.699 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:55:2155 [HTTP]: GET /api/admin/tasks/all | Status: 304 | Size: - B | Time: 266.463 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:55:2155 [HTTP]: GET /api/admin/tasks | Status: 304 | Size: - B | Time: 442.136 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:55:2155 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 290.793 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:56:2156 [HTTP]: GET /api/admin/users | Status: 304 | Size: - B | Time: 545.999 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:56:2156 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 541.344 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:56:2156 [HTTP]: GET /api/admin/designations/permissions | Status: 200 | Size: 889 B | Time: 1072.007 ms | User: Admin User (admin@gmail.com)
2026-06-22 14:21:56:2156 [HTTP]: GET /api/admin/designations/permissions | Status: 200 | Size: 889 B | Time: 265.119 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:42:16:4216 [HTTP]: GET /api/user/notifications | Status: 304 | Size: - B | Time: 260.272 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:42:17:4217 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 762.057 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:42:17:4217 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 509.812 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:42:18:4218 [HTTP]: GET /api/chat/contacts | Status: 200 | Size: 539 B | Time: 1796.530 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:42:23:4223 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1111.525 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:42:30:4230 [HTTP]: GET /api/chat/messages/3eb6f13e-88c6-4c1b-b86e-214c3a756fba | Status: 200 | Size: 2 B | Time: 1099.890 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:42:31:4231 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1115.825 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:42:32:4232 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1117.886 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:30:4530 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1692.849 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:31:4531 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1122.701 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:34:4534 [HTTP]: GET /api/chat/messages/2250ec44-8e16-4cf7-ad39-14ec3fca049e | Status: 200 | Size: 256 B | Time: 1080.245 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:35:4535 [HTTP]: GET /api/chat/contacts | Status: 200 | Size: 539 B | Time: 1134.469 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:36:4536 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1112.757 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:37:4537 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 550.191 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:38:4538 [HTTP]: GET /api/user/notifications | Status: 304 | Size: - B | Time: 1091.630 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:38:4538 [HTTP]: GET /api/user/me | Status: 200 | Size: 375 B | Time: 1420.198 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:38:4538 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 1117.987 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:39:4539 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 694.955 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:39:4539 [HTTP]: GET /api/user/me | Status: 304 | Size: - B | Time: 1221.657 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:39:4539 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 260.215 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:39:4539 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 2794.098 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:41:4541 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1103.413 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:42:4542 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1123.955 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:43:4543 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1104.618 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:44:4544 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1102.868 ms | User: Admin User (admin@gmail.com)
2026-06-22 16:45:54:4554 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1100.886 ms | User: Admin User (admin@gmail.com)
